GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
90,7781,23,99,24.8591,326103322548
90,7781,08,98,24.861,326157219915
90,7781,93,98,24.863,326060204655
90,7781,84,98,24.8649,326110059719
90,7781,91,98,24.8666,326128250080
90,7781,08,99,24.8686,326029213669
90,7781,22,98,24.8715,325920745218
90,7781,08,97,24.873,326041340576
90,7781,12,98,24.8745,325928829823
90,7781,85,98,24.8764,326074352713
90,7781,01,99,24.8781,326053467484
90,7781,11,98,24.8799,326029213669
90,7781,25,98,24.8826,326031234820
90,7781,21,98,24.8844,326068962977
90,7781,01,98,24.8864,326087827055
90,7781,82,99,24.8882,326142398139
90,7781,06,98,24.8897,326145766724
90,7781,28,98,24.8919,326044035445
90,7781,13,99,24.8944,326137682119
90,7781,13,98,24.8963,326234697379
90,7781,10,98,24.8978,326037298274
90,7781,90,98,24.8994,326129597514
90,7781,81,98,24.9016,325948367619
90,7781,07,99,24.9033,326110059719
90,7781,21,98,24.9056,326020455347
90,7781,08,97,24.9073,325975316302
90,7781,14,98,24.9095,326055488635
90,7781,90,98,24.9115,326085132187
90,7781,83,97,24.913,326070310411
90,7781,08,98,24.9157,326062225806
90,7781,31,99,24.9182,326051446332
90,7781,15,98,24.9197,326125555212
90,7781,08,98,24.9216,326209096130
90,7781,93,98,24.9234,326186189749
90,7781,82,98,24.9254,326133639817
90,7781,26,99,24.9273,326059530937
90,7781,12,98,24.9293,326083784753
90,7781,12,97,24.9316,325986769492
90,7781,11,99,24.9336,325983400907
90,7781,16,98,24.9354,325983400907
90,7781,83,98,24.9368,326081089884
90,7781,06,98,24.9388,326048077747
90,7781,19,98,24.9405,326053467484
90,7781,24,99,24.9429,325998896400
90,7781,19,98,24.9444,326103996265
90,7781,10,98,24.9465,326132966100
90,7781,85,98,24.948,326262319780
90,7781,81,98,24.9498,326098606528
90,7781,09,99,24.9516,326058857220
90,7781,18,98,24.9541,326021802781
90,7781,09,97,24.9556,326001591268
90,7781,14,98,24.9578,326056162352
90,7781,86,98,24.9592,325968579131
90,7781,96,99,24.9611,325989464361
90,7781,08,98,24.963,326095911660
90,7781,20,98,24.9653,326165304520
90,7781,17,98,24.9671,326000243834
90,7781,08,98,24.97,325906597159
90,7781,86,99,24.9714,326054141201
90,7781,96,98,24.9734,326045382879
90,7781,29,98,24.9749,325990811795
90,7771,09,99,24.9771,325975990019
90,7771,14,98,24.9792,325977337453
90,7771,07,98,24.981,326047404030
90,7771,92,98,24.9828,326078395016
90,7771,84,98,24.9847,326079068733
90,7771,71,99,24.9867,326088500772
90,7771,16,98,24.9888,326000917551
90,7771,06,99,24.9909,326051446332
90,7771,05,98,24.9926,326037298274
90,7771,04,98,24.9942,325974642585
90,7771,87,98,24.996,326045382879
90,7771,83,98,24.9977,326098606528
